,word,cluster,frequency_rank
16137,sfas,0,174
15596,accruals,0,880
16294,denominate,0,963
14230,consol,0,1492
13320,ameren,0,1515
16110,recoverability,0,1687
16378,ffo,0,1728
15059,questar,0,1769
14708,sublease,0,1778
16538,husi,0,1906
15053,instal,0,1926
16080,persistency,0,1966
15772,lifo,0,1987
15380,hospira,0,2001
15755,determinable,0,2086
14686,pepco,0,2111
15785,collectibility,0,2205
14775,leaseback,0,2272
15308,revpar,0,2286
14758,genco,0,2406
16148,payables,0,2408
15409,pseg,0,2434
14214,timberlands,0,2494
15224,ngl,0,2616
15530,federate,0,2626
15002,mmbtu,0,2771
16500,telaprevir,0,2890
13474,centerpoint,0,2896
16090,depreciable,0,2950
16245,verint,0,3121
15948,reinsure,0,3128
16221,accrete,0,3156
15013,oneok,0,3229
16440,hereof,0,3247
15991,nonmonetary,0,3280
15204,terex,0,3282
15491,dpl,0,3283
15303,undistributed,0,3307
15731,nicor,0,3351
12976,subsea,0,3376
15905,assurant,0,3414
15897,actuarially,0,3427
15975,thereunder,0,3470
16571,nonregulated,0,3504
16540,covanta,0,3511
16244,realizability,0,3547
15008,cnx,0,3555
15206,floorplan,0,3567
16478,reclassifications,0,3591
13202,conservatorship,0,3602
16531,payors,0,3608
14506,pinedale,0,3620
14531,sophisticate,0,3663
14505,sequent,0,3707
14812,discontinuance,0,3714
14963,palmsource,0,3718
13684,paperboard,0,3745
15842,meadwestvaco,0,3804
15334,securitize,0,3806
13248,b.v.,0,3821
12765,welders,0,3873
16335,undrawn,0,3884
15864,windstream,0,3894
15983,obligor,0,3898
15478,longwall,0,3905
16428,shurgard,0,3910
15100,provigil,0,3918
16190,actiq,0,3932
14800,sdg,0,3941
16214,workover,0,3951
15177,mgic,0,3967
16551,u.s.government,0,3979
15888,curtailments,0,4023
14575,maxtor,0,4052
14415,cintas,0,4055
15750,monoline,0,4066
15554,covidien,0,4103
16001,coinsurance,0,4125
16356,revlimid,0,4127
16030,mandatorily,0,4175
16398,westerngeco,0,4186
15705,remarketing,0,4198
