,word,freq,cluster
22,market,0.005158749140972479,0
64,stock,0.0027667490949898348,0
72,loan,0.002484487864263415,0
98,fair,0.0020614760400259917,0
281,currently,0.0007420401691648275,0
318,less,0.0006370591324927661,0
328,half,0.0006115501656634011,0
342,act,0.0005834285486001158,0
476,structure,0.0004018731087084335,0
477,live,0.0004016830977823302,0
491,additionally,0.00039132750230970155,0
541,private,0.0003378394266116287,0
556,negative,0.00033280413706989186,0
674,investors,0.00025684726936010637,0
696,impairments,0.00024250144443930887,0
705,maturities,0.0002398887942053888,0
719,raw,0.00023608857568332324,0
768,stockholders,0.00021200469079973272,0
795,ebitda,0.00019974898606607127,0
857,law,0.00018122292077100163,0
869,contribution,0.00017856276780555574,0
902,approach,0.00016720961497088488,0
978,libor,0.00014996612342701237,0
1019,list,0.00014113061536320993,0
1045,wholly,0.0001338151947082337,0
1099,md,0.0001241246374769665,0
1170,shelf,0.00011305650103145056,0
1189,often,0.00011044385079753049,0
1199,publicly,0.00010821122241581696,0
1203,u.k.,0.00010797370875818787,0
1259,label,9.885318430523051e-05,0
1283,notice,9.472044666248421e-05,0
1290,participants,9.424541934722601e-05,0
1298,separately,9.282033740145143e-05,0
1312,mattel,9.172777457635757e-05,0
1336,yen,8.873510249023094e-05,0
1350,restate,8.726251781293053e-05,0
1366,sce,8.555241947800104e-05,0
1374,age,8.436485118985555e-05,0
1387,meaningful,8.284476378102932e-05,0
1408,agent,8.06121353993158e-05,0
1431,people,7.847451248065392e-05,0
1462,immediately,7.57668567836822e-05,0
1472,slow,7.467429395858836e-05,0
1515,ameren,7.063656177889369e-05,0
1516,zero,7.054155631584205e-05,0
1530,par,6.935398802769656e-05,0
1574,ferc,6.640881867309575e-05,0
1608,straight,6.384367117070149e-05,0
1623,headquarter,6.317863292934003e-05,0
1659,alternatives,6.023346357473921e-05,0
1722,mae,5.6338239589622e-05,0
1728,ffo,5.6005720468941264e-05,0
1753,conform,5.43906275970634e-05,0
1767,statistics,5.3773092087227744e-05,0
1805,vote,5.2015491020772425e-05,0
1811,thereof,5.1635469168565864e-05,0
1812,cents,5.1635469168565864e-05,0
1822,already,5.101793365873021e-05,0
1829,co.,5.063791180652365e-05,0
1834,france,5.0210387222791275e-05,0
1866,mbs,4.892781347159415e-05,0
1884,british,4.83102779617585e-05,0
1913,pertain,4.707520694208719e-05,0
1967,fab,4.446255670816711e-05,0
2015,eps,4.218242559492777e-05,0
2024,engines,4.1944911937298676e-05,0
2045,bbb,4.1137365501359745e-05,0
2054,regulators,4.0852349112204824e-05,0
2097,withhold,3.923725624032696e-05,0
2137,jersey,3.7574660636923276e-05,0
2226,unvested,3.5057015866054835e-05,0
2275,cms,3.3394420262651156e-05,0
2293,mw,3.2491868363660584e-05,0
2306,sterling,3.206434377992821e-05,0
2347,ue,3.1256797343989276e-05,0
2382,rail,3.040174817652452e-05,0
2383,quantity,3.03542454449987e-05,0
2387,documentation,3.025923998194706e-05,0
2390,lock,3.021173725042124e-05,0
2406,genco,2.9926720861266324e-05,0
2408,payables,2.9784212666688867e-05,0
2419,format,2.954669900905977e-05,0
2431,lowest,2.930918535143067e-05,0
2434,pseg,2.9214179888379032e-05,0
2470,affordable,2.8596644378543378e-05,0
2477,congress,2.831162798938846e-05,0
2489,foundation,2.807411433175936e-05,0
2502,aventis,2.7836600674130264e-05,0
2513,resort,2.7551584284975347e-05,0
2518,counter,2.7504081553449526e-05,0
2519,context,2.7456578821923706e-05,0
2551,representations,2.6886546043613872e-05,0
2558,up,2.6649032385984775e-05,0
2655,representative,2.4748923124951992e-05,0
2741,fhn,2.3418846642229043e-05,0
2744,routinely,2.3371343910703227e-05,0
2762,suggest,2.3181332984599946e-05,0
2819,affirm,2.2373786548661015e-05,0
2845,mmc,2.1851256501876998e-05,0
2945,phi,2.0568682750679872e-05,0
2990,deficiency,1.9998649972370035e-05,0
2995,alternate,1.9903644509318398e-05,0
2997,ceiling,1.9903644509318398e-05,0
3016,pacificorp,1.9713633583215118e-05,0
3033,ounces,1.952362265711184e-05,0
3077,plc,1.8858584415750366e-05,0
3086,realign,1.871607622117291e-05,0
3181,vice,1.7576010664553238e-05,0
3187,edc,1.7528507933027417e-05,0
3305,vast,1.6245934181830292e-05,0
3311,tv,1.6245934181830292e-05,0
3319,icc,1.6198431450304472e-05,0
3346,lyons,1.5913415061149555e-05,0
3361,investigate,1.5723404135046275e-05,0
3372,subsidies,1.5628398671994638e-05,0
3441,latest,1.5010863162158982e-05,0
3442,lukoil,1.5010863162158982e-05,0
3498,ipo,1.4583338578426606e-05,0
3510,airspace,1.4488333115374966e-05,0
3523,authorizations,1.4345824920797507e-05,0
3528,notification,1.4298322189271689e-05,0
3565,occidental,1.4013305800116772e-05,0
3579,a.,1.3870797605539312e-05,0
3595,ask,1.3823294874013493e-05,0
3694,discontinuation,1.2873240243497102e-05,0
3733,downstream,1.2683229317393823e-05,0
3738,servicer,1.2635726585868003e-05,0
3739,restriction,1.2588223854342185e-05,0
3749,i.e,1.2540721122816365e-05,0
3758,super,1.2493218391290545e-05,0
3791,exercisable,1.2303207465187268e-05,0
3792,pack,1.2303207465187268e-05,0
3822,sachs,1.2065693807558169e-05,0
3832,classifications,1.197068834450653e-05,0
3855,corridor,1.1828180149929072e-05,0
3902,ball,1.1543163760774153e-05,0
4017,wyeth,1.087812551941268e-05,0
4052,maxtor,1.0688114593309402e-05,0
4054,nrc,1.0688114593309402e-05,0
4061,railway,1.0640611861783582e-05,0
4067,rim,1.0593109130257763e-05,0
4085,interpret,1.0450600935680305e-05,0
4109,viable,1.0308092741102844e-05,0
